variant_rank,variant,avg_mean,std_mean,best_mean,worst_mean,n_models
1,with_outlier_default_adaptive,0.7117355563296858,0.052714449920902164,0.6735401135199688,0.8428448356427293,15
2,with_outlier_default_linear,0.7121507881077993,0.05188808539271058,0.673947157109186,0.8386540226312122,15
3,without_outlier_adaptive,0.7134539342040199,0.05768030664769714,0.672212068919294,0.84709926913446,15
4,without_outlier_linear,0.7170886876572674,0.05808212470559418,0.6746238647915408,0.8570884477063777,15
