variant,model,total_search_seconds,random_search_seconds,bayesian_search_seconds,n_total_trials,avg_trial_seconds
with_outlier_default_adaptive,AdaBoost,4719.254375934601,3448.937490940094,1270.3168835639954,1000,4.719254375934601
with_outlier_default_adaptive,Bagging,7398.866063117981,4290.8200895786285,3108.045970916748,1000,7.398866063117981
with_outlier_default_adaptive,CatBoost,5120.308939218521,3380.261130332947,1740.0478069782257,1000,5.120308939218521
with_outlier_default_adaptive,DecisionTree,66.40330767631531,25.604400396347046,40.79890561103821,1000,0.0664033076763153
with_outlier_default_adaptive,ElasticNet,32.46525168418884,24.31232738494873,8.152921676635742,1000,0.032465251684188845
with_outlier_default_adaptive,ExtraTrees,3775.0582118034363,1395.7373898029327,2379.3208196163177,1000,3.775058211803436
with_outlier_default_adaptive,GradientBoosting,8103.452497720718,6137.100921154022,1966.3515713214874,1000,8.103452497720719
with_outlier_default_adaptive,HistGradientBoosting,4902.259762763977,3319.876982688904,1582.3827776908875,1000,4.902259762763977
with_outlier_default_adaptive,KNeighbors,79.51328229904175,30.242581605911255,49.27069902420044,1000,0.07951328229904175
with_outlier_default_adaptive,Lasso,29.89379596710205,23.039268016815186,6.854525804519653,1000,0.029893795967102052
with_outlier_default_adaptive,LightGBM,1156.9931597709656,936.4863431453705,220.5068142414093,1000,1.1569931597709655
with_outlier_default_adaptive,MLP,10775.826349258423,7938.318190574646,2837.5081553459167,1000,10.775826349258423
with_outlier_default_adaptive,RandomForest,6095.247452735901,2817.3788135051727,3277.868636608124,1000,6.095247452735901
with_outlier_default_adaptive,Ridge,13.98439335823059,6.3236775398254395,7.660712480545044,1000,0.01398439335823059
with_outlier_default_adaptive,XGBoost,1459.0344462394714,1259.2568233013153,199.77761888504028,1000,1.4590344462394715
with_outlier_default_linear,AdaBoost,4989.0361764431,3439.8494074344635,1549.1867671012878,1000,4.9890361764431
with_outlier_default_linear,Bagging,7445.797924041748,4268.4517385959625,3177.346182823181,1000,7.445797924041748
with_outlier_default_linear,CatBoost,5489.7809953689575,3400.838104724884,2088.9428882598877,1000,5.489780995368958
with_outlier_default_linear,DecisionTree,54.921862840652466,25.608943939208984,29.312916040420532,1000,0.054921862840652466
with_outlier_default_linear,ElasticNet,33.66696357727051,25.386242389678955,8.280718803405762,1000,0.03366696357727051
with_outlier_default_linear,ExtraTrees,5024.48210811615,1398.1455149650574,3626.336590528488,1000,5.02448210811615
with_outlier_default_linear,GradientBoosting,8681.53303861618,6086.201494693756,2595.331541776657,1000,8.68153303861618
with_outlier_default_linear,HistGradientBoosting,4945.532373905182,3320.139931678772,1625.3924398422241,1000,4.9455323739051815
with_outlier_default_linear,KNeighbors,80.16998791694641,30.43138337135315,49.73860239982605,1000,0.0801699879169464
with_outlier_default_linear,Lasso,28.58894968032837,21.77833843231201,6.810609340667725,1000,0.02858894968032837
with_outlier_default_linear,LightGBM,1162.6644296646118,938.4861009120941,224.17832612991333,1000,1.1626644296646118
with_outlier_default_linear,MLP,12354.540693759918,7934.828487157822,4419.712204456329,1000,12.354540693759919
with_outlier_default_linear,RandomForest,5607.56072974205,2815.0451617240906,2792.515566110611,1000,5.60756072974205
with_outlier_default_linear,Ridge,13.865670680999756,6.3094587326049805,7.556209564208984,1000,0.013865670680999757
with_outlier_default_linear,XGBoost,1382.5530455112457,1243.3223502635956,139.23069286346436,1000,1.3825530455112458
without_outlier_adaptive,AdaBoost,4418.754192113876,3318.3143649101257,1100.4398231506348,1000,4.418754192113877
without_outlier_adaptive,Bagging,7065.708794116974,4118.97746348381,2946.7313272953033,1000,7.065708794116974
without_outlier_adaptive,CatBoost,3517.2922673225403,2537.2025718688965,980.0896925926208,1000,3.5172922673225404
without_outlier_adaptive,DecisionTree,64.15340423583984,25.853188514709473,38.300213098526,1000,0.06415340423583984
without_outlier_adaptive,ElasticNet,26.511969089508057,18.703545331954956,7.808419942855835,1000,0.026511969089508057
without_outlier_adaptive,ExtraTrees,4008.315283536911,1349.213996887207,2659.1012845039368,1000,4.008315283536911
without_outlier_adaptive,GradientBoosting,7937.314471006393,5959.88227891922,1977.4321899414062,1000,7.937314471006394
without_outlier_adaptive,HistGradientBoosting,4407.699238061905,3064.2366602420807,1343.462575674057,1000,4.407699238061905
without_outlier_adaptive,KNeighbors,62.81725192070007,24.042899131774902,38.77435111999512,1000,0.06281725192070008
without_outlier_adaptive,Lasso,23.23181653022766,16.706986665725708,6.524827718734741,1000,0.023231816530227663
without_outlier_adaptive,LightGBM,1113.006935119629,917.6087584495544,195.39817333221436,1000,1.113006935119629
without_outlier_adaptive,MLP,9907.271616697311,7308.186555624008,2599.085058927536,1000,9.907271616697312
without_outlier_adaptive,RandomForest,4991.003106355667,2921.28755235672,2069.7155497074127,1000,4.9910031063556675
without_outlier_adaptive,Ridge,13.739845752716064,6.216616153717041,7.523225784301758,1000,0.013739845752716064
without_outlier_adaptive,XGBoost,1425.2659120559692,1221.6111330986023,203.6547725200653,1000,1.4252659120559692
without_outlier_linear,AdaBoost,4600.9824640750885,3302.173182249069,1298.8092803955078,1000,4.600982464075089
without_outlier_linear,Bagging,7089.22457909584,4111.800103902817,2977.4244730472565,1000,7.08922457909584
without_outlier_linear,CatBoost,3940.722983598709,2500.1059033870697,1440.6170783042908,1000,3.940722983598709
without_outlier_linear,DecisionTree,54.285905838012695,25.64525270462036,28.640647172927856,1000,0.054285905838012696
without_outlier_linear,ElasticNet,27.143396377563477,19.23703098297119,7.9063637256622314,1000,0.027143396377563477
without_outlier_linear,ExtraTrees,3610.0450599193573,1353.0250091552734,2257.020049095154,1000,3.6100450599193574
without_outlier_linear,GradientBoosting,8431.141282558441,5927.035156488419,2504.106124162674,1000,8.43114128255844
without_outlier_linear,HistGradientBoosting,4496.746771335602,3039.490249633789,1457.2565186023712,1000,4.4967467713356015
without_outlier_linear,KNeighbors,63.766576051712036,23.925450086593628,39.8411226272583,1000,0.06376657605171204
without_outlier_linear,Lasso,23.255011320114136,16.7084801197052,6.546526908874512,1000,0.023255011320114136
without_outlier_linear,LightGBM,1123.4577114582062,911.290159702301,212.16754961013794,1000,1.1234577114582063
without_outlier_linear,MLP,10067.713213205338,7326.249293804169,2741.463917016983,1000,10.067713213205337
without_outlier_linear,RandomForest,6895.410441637039,2912.531553506851,3982.878885984421,1000,6.895410441637039
without_outlier_linear,Ridge,13.697489738464355,6.214187860488892,7.483299493789673,1000,0.013697489738464356
without_outlier_linear,XGBoost,1359.0614221096039,1205.1521363258362,153.90928268432617,1000,1.3590614221096038
