variant,model,trial_id,search_type,mean_score,std_score,trial_elapsed_seconds,RMSE,MAE,MedAE,R2,RMSLE,RMSE_log,MAE_log,R2_log,RMSE_std,MAE_std,MedAE_std,R2_std,RMSLE_std,RMSE_log_std,MAE_log_std,R2_log_std,fold_0_RMSE,fold_0_MAE,fold_0_MedAE,fold_0_R2,fold_0_RMSLE,fold_0_RMSE_log,fold_0_MAE_log,fold_0_R2_log,fold_1_RMSE,fold_1_MAE,fold_1_MedAE,fold_1_R2,fold_1_RMSLE,fold_1_RMSE_log,fold_1_MAE_log,fold_1_R2_log,fold_2_RMSE,fold_2_MAE,fold_2_MedAE,fold_2_R2,fold_2_RMSLE,fold_2_RMSE_log,fold_2_MAE_log,fold_2_R2_log,fold_3_RMSE,fold_3_MAE,fold_3_MedAE,fold_3_R2,fold_3_RMSLE,fold_3_RMSE_log,fold_3_MAE_log,fold_3_R2_log,fold_4_RMSE,fold_4_MAE,fold_4_MedAE,fold_4_R2,fold_4_RMSLE,fold_4_RMSE_log,fold_4_MAE_log,fold_4_R2_log,fold_5_RMSE,fold_5_MAE,fold_5_MedAE,fold_5_R2,fold_5_RMSLE,fold_5_RMSE_log,fold_5_MAE_log,fold_5_R2_log,fold_6_RMSE,fold_6_MAE,fold_6_MedAE,fold_6_R2,fold_6_RMSLE,fold_6_RMSE_log,fold_6_MAE_log,fold_6_R2_log,hp_learning_rate,hp_loss,hp_n_estimators
with_outlier_default_adaptive,AdaBoost,821,bayesian,-0.6882998103225297,0.04569276488815875,2.2529983520507812,194.57516219292998,64.40503982162407,6.0970511349070025,0.07741855101722543,0.6882998103225297,0.6882998103225297,0.5673482994632058,0.6542747450867906,83.5444389735366,37.622387921665734,5.759973384999425,0.08368429272688196,0.04569276488815875,0.04569276488815875,0.045244670339869925,0.08729057168320858,113.21707608569274,36.34347449887155,2.6763559628852827,0.04400426918577649,0.6979332261780629,0.6979332261780629,0.580279613803067,0.7015415387883847,171.87609203706376,43.62872805255501,3.8658350425076833,0.10513490529176128,0.744731246606207,0.744731246606207,0.6318819362724278,0.6789468650127712,232.96755547422634,60.944324098840276,6.646267874437899,0.009255298472187645,0.6378956128971129,0.6378956128971129,0.509247950702084,0.7108996509222957,236.7021046311332,78.54444405958144,2.8730529943621548,0.07069955915649917,0.687631810975772,0.687631810975772,0.5465900995537786,0.6539060079537728,139.9551460606249,50.506114346910294,4.0906835110599715,0.2650441140942471,0.6075426057939199,0.6075426057939199,0.5055981098445688,0.7610052859579208,361.0059592028686,149.2936707382499,19.850029657958903,-0.0036053424346038643,0.7136904812007842,0.7136904812007842,0.585053975921423,0.4723848602010945,106.30220185890008,31.574522956360134,2.6771329011371177,0.05139705335471023,0.7286736886058491,0.7286736886058491,0.6127864101450907,0.6012390067712948,0.10073077417572435,exponential,50
with_outlier_default_adaptive,AdaBoost,818,bayesian,-0.6883032462028502,0.04421400512889974,2.2444770336151123,194.90596380352073,64.43260316348123,6.079056963667545,0.0754054575637838,0.6883032462028502,0.6883032462028502,0.5696775861352468,0.6553689124619476,83.7679014952764,37.43764799562207,5.133607445821865,0.07964144261039958,0.04421400512889974,0.04421400512889974,0.04476480635934741,0.08105732874672414,113.40782429540745,36.410323991763946,2.8566436525015844,0.040780230976505516,0.6986392707317883,0.6986392707317883,0.5817936725407585,0.7009373791062137,171.66505266577985,43.77329273336576,4.371800067291335,0.10733109003383445,0.7496055493936024,0.7496055493936024,0.6394830661295291,0.6747304945968241,233.2869115552571,61.7948786295597,7.62668091966065,0.006537175700489617,0.6369142720741572,0.6369142720741572,0.5131423700902111,0.7117884726718786,237.4570340340388,78.88334726257997,3.3978655301238896,0.06476234970539352,0.6878105961182747,0.6878105961182747,0.5526130274192234,0.6537260148043024,141.395502111798,50.49867007441693,3.4281555827842958,0.24983859292522193,0.6148703701313152,0.6148703701313152,0.5136710277043943,0.7552053357983185,361.62970394846803,148.56461296126778,18.071553427160318,-0.007076389588767773,0.7020013255913404,0.7020013255913404,0.5685547163280844,0.4895263789854445,105.49971801389587,31.10309649141459,2.8006995661507457,0.06566515319380939,0.7282813393794736,0.7282813393794736,0.6184852227345262,0.6016683112706502,0.12208067836361962,exponential,50
with_outlier_default_adaptive,AdaBoost,848,bayesian,-0.6891919007877905,0.046257439322829566,2.2502973079681396,194.73901281796606,64.37186264008162,6.099995295205282,0.07765478995061424,0.6891919007877905,0.6891919007877905,0.5687361846444156,0.6530208506382491,84.22294886474661,38.07450598143783,5.7723125923806355,0.08416736260689726,0.046257439322829566,0.046257439322829566,0.04511397297772875,0.08904217577614076,113.3670789113817,36.53443580343637,2.8039469840281943,0.04146936785129918,0.6957812776808483,0.6957812776808483,0.5800431853275072,0.7033791847312735,170.91466732702074,42.83126783322891,3.819048611889251,0.11511813383074576,0.7418326172889523,0.7418326172889523,0.6282091061052316,0.6814411956166316,232.80061759196133,61.18012873050034,7.192775372241266,0.010674668342129268,0.640025109506777,0.640025109506777,0.5119820925022314,0.7089662129178855,236.7613743166432,78.47195740531211,3.261924453806536,0.0702341113242353,0.6934229361909064,0.6934229361909064,0.5550174919208379,0.6480519638325623,140.40988610261581,50.460137425639,3.3762215726635207,0.26026034099199724,0.6047895270978431,0.6047895270978431,0.5022526754817705,0.7631663869289731,363.191731337979,150.28824419587895,19.784464961409718,-0.015795132978944082,0.7156672870101839,0.7156672870101839,0.5850452964180747,0.4694579971968018,105.72773413816054,30.836867086575587,2.461585110398497,0.06162204029283702,0.7328245507390228,0.7328245507390228,0.6186034447552554,0.5966830132436156,0.10335536261474536,exponential,50
with_outlier_default_adaptive,AdaBoost,577,bayesian,-0.6894622725955072,0.047763193121691846,2.2281360626220703,194.74859626187478,64.57190022749742,6.206559100411214,0.07735685588321008,0.6894622725955072,0.6894622725955072,0.5705274153478633,0.6535335090926514,84.11753659204427,37.755118431511626,5.518256677411251,0.08525733762706235,0.047763193121691846,0.047763193121691846,0.046800202987319184,0.08518269426714578,113.2364264376137,36.51910900901628,3.0474559523092966,0.04367745568166914,0.7050915829244364,0.7050915829244364,0.5895853426783401,0.6953878598142698,171.25313945150245,43.90688737038597,3.8885610681061737,0.11160989880172656,0.7481285835017132,0.7481285835017132,0.6405714701076367,0.676011004544756,233.2505074857182,62.407951675949796,7.5514116269992755,0.006847208249398773,0.6383753540640665,0.6383753540640665,0.5133639397600547,0.7104646409003721,237.13804250283354,78.70667622834655,3.195388202751558,0.06727339349316952,0.6897106059027834,0.6897106059027834,0.5567634268459387,0.6518102761136153,139.9698567515731,50.15349940539548,3.5902642657690103,0.2648896034897853,0.6035250087945877,0.6035250087945877,0.5031598177313735,0.7641557140990656,362.5352325840644,149.4960927664652,19.224544460383044,-0.012126186402756867,0.7077368690083622,0.7077368690083622,0.5744242483242548,0.4811508840905232,105.85696861981813,30.81308513692263,2.9482881265601426,0.05932661786947813,0.7336679039726011,0.7336679039726011,0.615823661987445,0.5957541840859588,0.13229573502567102,exponential,50
with_outlier_default_adaptive,AdaBoost,981,bayesian,-0.6895526178415293,0.04868086056096227,2.2408902645111084,194.76868353685884,64.36855085312264,6.020160486411956,0.07698150152542908,0.6895526178415293,0.6895526178415293,0.5703220770757927,0.6537146841844271,83.97014110804875,37.77040647810696,5.309876588139285,0.0817858437656932,0.04868086056096227,0.04868086056096227,0.04894785947615325,0.08446989234096018,113.6803922468969,36.72852477776715,3.092744081975189,0.03616385180193171,0.7130744088760825,0.7130744088760825,0.5939152989090293,0.6884513680574516,169.90286354891114,43.07583449080406,4.013341237437958,0.125564009435302,0.7500245596540659,0.7500245596540659,0.6387218625196857,0.674366758357283,233.31178003322475,61.7557097176452,7.125516834946131,0.006325357343232141,0.629536665941765,0.629536665941765,0.5020038242326375,0.71842671682005,237.42145214057112,78.81462916340345,3.01981874284939,0.0650426112131609,0.6842956001455182,0.6842956001455182,0.5484779869000406,0.6572561773131516,141.38264364528612,50.273085059627725,3.704944328408186,0.24997502564887264,0.6090255116883807,0.6090255116883807,0.5091470072057694,0.7598371730079727,362.20575414310895,149.31337677287164,18.57272934387948,-0.010287345956043303,0.707142725402081,0.707142725402081,0.5789198462430533,0.48202166390137524,105.47589900001283,30.618695989739336,2.612028835387357,0.06608700119154753,0.7337688531828124,0.7337688531828124,0.6210687135203337,0.5956429318337059,0.12422759119098686,exponential,50
with_outlier_default_adaptive,AdaBoost,557,bayesian,-0.6897228803282917,0.0445556973974493,2.253167152404785,194.3540456900441,64.40467298944696,6.051407464331858,0.08161957926208994,0.6897228803282917,0.6897228803282917,0.5677844388908557,0.653123325131728,83.90308416826791,37.558500980891104,5.701092587284056,0.0876276527644647,0.0445556973974493,0.0445556973974493,0.042621115398707304,0.08568495081286047,113.67178534275936,36.70423317671384,2.9995750104699823,0.03630979308750115,0.702442875450042,0.702442875450042,0.5829469002327174,0.6976721389880935,171.74764739459687,43.44888855840844,3.5731417222168904,0.10647188797121154,0.7412382698883929,0.7412382698883929,0.627303860126686,0.6819514421239834,233.46400739530964,62.413614337387294,7.4672226877656165,0.005028261955640545,0.6379236346425726,0.6379236346425726,0.508943942579275,0.710874250922156,237.66213045139392,79.15596253659156,3.287840261434125,0.0631460848599229,0.6940623745688843,0.6940623745688843,0.5594648969240599,0.6474025683947229,138.8868221048379,50.802584971439074,3.1827697270171837,0.2762216129770725,0.6107151207694202,0.6107151207694202,0.507372376962941,0.7585027652970537,360.7062143585844,148.46819764922682,19.488931372637325,-0.0019394384181044,0.7108339535115766,0.7108339535115766,0.5807437953141151,0.47659993980982684,104.33971278282665,29.83922969636176,2.360371468781881,0.08609885240138537,0.7308439334671533,0.7308439334671533,0.6077153000961956,0.5988601703862602,0.09666779378170103,exponential,50
with_outlier_default_adaptive,AdaBoost,676,bayesian,-0.6897931088028326,0.04416937744826716,2.238874912261963,194.81429308582634,64.35069159690924,5.858862207205102,0.07684261619357699,0.6897931088028326,0.6897931088028326,0.5682868675321726,0.6536365774954688,84.1703896561788,37.566305698491185,5.253160333769414,0.08437719128667823,0.04416937744826716,0.04416937744826716,0.04480813890445051,0.0829736818793759,113.51614985027486,36.811161895750075,3.1091061610646413,0.03894688940417579,0.7065730450408948,0.7065730450408948,0.587456986441131,0.6941064789607969,170.63316187147473,43.235862125353954,4.142144184967105,0.1180306273819316,0.7443355621884082,0.7443355621884082,0.633562536178356,0.6792879329499534,233.17435860945812,61.301204909477384,6.77289790899689,0.007495568031155475,0.6365274777644717,0.6365274777644717,0.5049351422163685,0.7121384247250776,237.4374732498751,78.51831803563755,3.2391557177674564,0.06491642581773238,0.6815677829785535,0.6815677829785535,0.5462031186748383,0.6599832999075914,140.4767892545087,50.38399376921835,3.2898428737738827,0.25955522389558994,0.6179725254504501,0.6179725254504501,0.5162749519934956,0.7527290196395355,362.78126143664946,149.0214367424963,18.296643815421145,-0.013500379673102136,0.706370943408034,0.706370943408034,0.5746007734715676,0.48315169942161784,105.6808573285433,31.182863700431085,2.162244788444598,0.06245395849755586,0.7352044247890165,0.7352044247890165,0.614974563749451,0.5940591868637085,0.11072523405722368,exponential,50
with_outlier_default_adaptive,AdaBoost,566,bayesian,-0.6898643112129405,0.04738473418322601,2.2089836597442627,194.25242486983046,64.28851584883186,5.94955971106208,0.08159342412832764,0.6898643112129405,0.6898643112129405,0.5697158315947503,0.6535531876966807,83.4951620786194,37.86059213310282,5.283815067413579,0.0814572361508427,0.04738473418322601,0.04738473418322601,0.0442854134305295,0.0835256991799278,113.2776177234544,36.46356251621207,2.6116957227478093,0.04298157854683249,0.7033686798005758,0.7033686798005758,0.5882456110258266,0.6968746908040464,171.0784096603267,43.730323496812055,4.3118166617758735,0.11342182502498321,0.7573057307644293,0.7573057307644293,0.6455655989106814,0.6680136329653777,232.94826289466798,61.6400699537581,7.482100427709025,0.009419383376622736,0.6322475732011752,0.6322475732011752,0.5120604175643283,0.7159964769343217,237.039574773862,78.84312963427993,3.3645591163843314,0.06804783188752028,0.692092640003872,0.692092640003872,0.5601482387846007,0.6494010568665939,140.36544374006547,50.618041676540294,3.1661238620793917,0.2607285498358429,0.6116053780966679,0.6116053780966679,0.5106859614962939,0.7577981769303608,360.0906973706978,149.2537578188175,18.292806247161288,0.0014771068826812117,0.7075942784608013,0.7075942784608013,0.5750770718874822,0.48135993219853235,104.9669679257388,29.470725845403024,2.4178159395768493,0.07507769334381065,0.7248358981630623,0.7248358981630623,0.5962279214940389,0.6054283471775316,0.16109243245427218,exponential,50
with_outlier_default_adaptive,AdaBoost,544,bayesian,-0.6900269931150104,0.04974983192213044,2.2015743255615234,194.2470464640933,64.48470109388425,6.251519732995312,0.08056930562806507,0.6900269931150104,0.6900269931150104,0.5723187693567967,0.653628583233307,83.17215688882041,37.17839768196711,5.245348212742982,0.08150020564189756,0.04974983192213044,0.04974983192213044,0.05048255264735761,0.0822425507108601,113.64626738285747,36.76358734148405,2.8307529715710427,0.03674241843502779,0.6999356886036872,0.6999356886036872,0.587782132627742,0.6998264485685404,171.7250475514808,44.02100962451876,4.341409158904526,0.1067070267558835,0.7582240257421407,0.7582240257421407,0.6484504940509755,0.6672080237225282,232.6549201575121,61.53705775489723,8.42209351956704,0.011912612285062352,0.6309556423521498,0.6309556423521498,0.5091433705369527,0.7171559532357223,237.25268969524708,78.83118943817169,3.5002976875156824,0.06637130005452985,0.6871026197786624,0.6871026197786624,0.5551313799415795,0.6544385005357805,140.12054962591515,51.14667344382614,3.6471952502620244,0.26330589779239744,0.6116694217713473,0.6116694217713473,0.5115038705283059,0.7577474504081467,359.2272504540024,148.02656153127086,18.317216761168577,0.006260000950772282,0.6987784983717382,0.6987784983717382,0.5611235756978693,0.49420270026402546,105.10260038163803,31.066828523021137,2.7016727819782864,0.07268588312278224,0.7435230551853477,0.7435230551853477,0.6330965621141521,0.584821005898405,0.16765912669855784,exponential,50
with_outlier_default_adaptive,AdaBoost,851,bayesian,-0.6900598326233724,0.04263017181942811,2.243373394012451,194.11013216653055,64.54752184883687,6.20286040603151,0.08145486435922354,0.6900598326233724,0.6900598326233724,0.5706076216337909,0.6538944818364294,83.05864632804169,37.65551239393094,5.6784174266057565,0.08650216211901716,0.04263017181942811,0.04263017181942811,0.04143452437139336,0.07953157333387868,113.47997005467117,36.766785653625774,3.1840782189268326,0.03955940425960225,0.7050371750244293,0.7050371750244293,0.5882605074078174,0.6954348683670073,170.3749159777336,43.31440321691148,3.8346170519145777,0.12069825201227102,0.7517968735303067,0.7517968735303067,0.639241455730975,0.6728259923119199,233.72420206875591,62.9673124274993,7.585967266595128,0.0028092423025349866,0.646787856862533,0.646787856862533,0.5185203593033438,0.7027833733577702,238.70950022875007,79.43887392727586,3.5684619697825246,0.05487051646809393,0.6963783799808162,0.6963783799808162,0.562979477157501,0.6450454890637937,139.03846866301586,50.68700578687695,3.4804302876734567,0.27464020416233803,0.6125873589965478,0.6125873589965478,0.5116821976141012,0.7570198041225894,357.8290829818532,148.7359055064005,19.569800922005015,0.013980523449126703,0.7034344232609264,0.7034344232609264,0.5760926291043256,0.48744004310959155,105.614785190934,29.922366423268198,2.1966671253230308,0.06362590786059785,0.7143967607080477,0.7143967607080477,0.5974767251184719,0.6167118025223339,0.12045574454043383,exponential,50
