baseline_slug,baseline_label,equation,phi_column,swirr_column,swirr_proxy_note,comparison_targets,cost,n_outer_folds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MedAE_mean,MedAE_std,R2_mean,R2_std,RMSLE_mean,RMSLE_std,RMSE_log_mean,RMSE_log_std,MAE_log_mean,MAE_log_std,R2_log_mean,R2_log_std,RMSE_ci,MAE_ci,MedAE_ci,R2_ci,RMSLE_ci,RMSE_log_ci,MAE_log_ci,R2_log_ci
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,CPOR_SM,,,"4550,4096",10,7,189.98704372554215,81.77716728128365,64.51713794256113,37.04641511289013,4.856320327623143,5.71132312616338,0.10151367558491763,0.09114072021782459,0.7243559616767737,0.048379164901142954,0.7243559616767737,0.048379164901142954,0.5794751064020999,0.035428788639566756,0.6177611730943628,0.09965050240798227,265.61830919513085,98.77935745014292,10.138413238125867,0.017222567992818127,0.7690992266427734,0.7690992266427734,0.6122412709434618,0.5255998296245834
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),CPOR_SM,SWT,SWT used as Swirr proxy,all,16,7,200.63280900370492,93.62591112070845,66.12597049579306,43.1059501964635,6.096031298994006,5.74008903177646,0.022096627450797022,0.08633825677976169,0.7917942178281319,0.07827519871732845,0.7917942178281319,0.07827519871732845,0.6223199483746471,0.04707309687952396,0.5368139770013299,0.1548424880029177,287.22233483609523,105.99232526220169,11.404728234999506,-0.05775294224915714,0.8641867025606031,0.8641867025606031,0.6658553018838382,0.39360856031284375
loglinear_phit,Log-linear porosity-permeability (PHIT),log10(k) = a + b*PHIT,PHIT,,,640,4,7,195.3126768926334,89.86081031330905,68.24734523293188,43.835751624938545,7.003733488046531,8.790830569052364,0.07159973011878569,0.07700075574198521,0.8536407985984723,0.10272771176219378,0.8536407985984723,0.10272771176219378,0.6904426814618068,0.08710954546265505,0.45026780043666614,0.25272470908235767,278.42006525131154,108.78865374758209,15.133895764018906,0.000385908553534417,0.9486480860561788,0.9486480860561788,0.7710055742208607,0.216536427746933
timur_phit_swt,"Timur baseline (PHIT, SWT as Swirr)",log10(k) = log(a) + b*log10(PHIT) - c*log10(SWT),PHIT,SWT,SWT used as Swirr proxy,640,10,7,204.2183166588441,94.39903258376992,68.57389463635822,44.64602938039763,7.6343881563589715,8.566417898739928,-0.012453213096978413,0.05595163770926367,0.8855606880102427,0.09033070916198589,0.8855606880102427,0.09033070916198589,0.7194840448778169,0.07459437275786782,0.41649504128032555,0.23716644261438766,291.52286058928024,109.86458508810146,15.557003328324189,-0.06419984734382247,0.9691026603212591,0.9691026603212591,0.7884723333713823,0.19715266518469365
