subset_id,subset_label,features,n_features,cost,model,variant,n_outer_folds,RMSE_mean,RMSE_std,RMSE_ci,MAE_mean,MAE_std,MAE_ci,MedAE_mean,MedAE_std,MedAE_ci,R2_mean,R2_std,R2_ci,RMSLE_mean,RMSLE_std,RMSLE_ci,RMSE_log_mean,RMSE_log_std,RMSE_log_ci,MAE_log_mean,MAE_log_std,MAE_log_ci,R2_log_mean,R2_log_std,R2_log_ci
4550,best_performer,"CALI,DRHO,CT,PEF,MSFL,CPOR_SM",6,21,ExtraTrees,dataset/prepared_variants/all_sources_without_outlier_adaptive.csv,7,190.6072605596142,80.94013791715615,265.4644029805722,62.31673565345384,38.43384789416769,97.86211646987725,5.02014922298487,6.136464995784529,10.695432784038697,0.09339463510120054,0.07890953678998645,0.02041548549923526,0.6609583890390777,0.06077972994102205,0.7171702638589509,0.6609583890390777,0.06077972994102205,0.7171702638589509,0.532871168078384,0.050719347984687434,0.5797787414194855,0.6811716516805336,0.09069766666698796,0.5972903002812026
8191,full_feature_baseline,"GR,CALI,DRHO,RHOB,NPHI,RT,CT,PEF,MSFL,PHIT,DT,SWT,CPOR_SM",13,31,ExtraTrees,dataset/prepared_variants/all_sources_without_outlier_adaptive.csv,7,190.95657440914292,81.4770759114554,266.310301651239,62.925206091206086,38.46063000623162,98.4953562301028,5.689628414680655,7.405504304361121,12.538577584720016,0.09320586616111162,0.07539869126061799,0.023473707119984186,0.6773043369279648,0.049587774918455944,0.723165379729851,0.6773043369279648,0.049587774918455944,0.723165379729851,0.546739499537121,0.049573011116842695,0.592586888099856,0.6653592776998262,0.09011478505399996,0.5820170018820399
4096,cpor_sm_only_baseline,CPOR_SM,1,10,ExtraTrees,dataset/prepared_variants/all_sources_without_outlier_adaptive.csv,7,194.20010522733384,93.17346977146691,280.37119260151485,64.9194237733867,43.01258467535338,104.69942983455715,4.916470806260768,6.488096917866259,10.916959655424787,0.07768944105678646,0.15850170972412536,-0.06890019128271171,0.7230293607206365,0.03939513510172692,0.7594637839238836,0.7230293607206365,0.03939513510172692,0.7594637839238836,0.5790974916735147,0.04468368877062657,0.6204230112521953,0.6155088154025693,0.11983096839145096,0.5046836537689019
640,budget_wireline_only,"PEF,PHIT",2,7,ExtraTrees,dataset/prepared_variants/all_sources_without_outlier_adaptive.csv,7,197.63893928050342,91.15646651755772,281.94460977096287,67.21223488094856,43.06850986773087,107.0439631185132,7.754176761282346,11.13776897014158,18.05489503906643,0.05193232463434615,0.07352557664883311,-0.016067492321959642,0.8103382783746331,0.08198369610301587,0.886160551146906,0.8103382783746331,0.08198369610301587,0.886160551146906,0.6570959168217856,0.06870712304909417,0.720639407452905,0.5122970834238504,0.17883757650625828,0.34689991115253443
