subset_id,subset_label,metric,direction,reference_source,nested_mean,reference_mean,delta_nested_minus_reference
4550,best_performer,RMSE,minimize,phase3_single_lowo_retune,190.70452572949142,190.09408142419596,0.6104443052954593
4550,best_performer,RMSE,minimize,phase2_best_single_lowo,190.70452572949142,190.5452468812287,0.15927884826271566
4550,best_performer,MAE,minimize,phase3_single_lowo_retune,62.184114940347236,62.02698418239795,0.15713075794928244
4550,best_performer,MAE,minimize,phase2_best_single_lowo,62.184114940347236,62.92778996417222,-0.7436750238249843
4550,best_performer,MedAE,minimize,phase3_single_lowo_retune,4.962327762008994,5.017188544932863,-0.05486078292386942
4550,best_performer,MedAE,minimize,phase2_best_single_lowo,4.962327762008994,5.485785250957281,-0.5234574889482868
4550,best_performer,R2,maximize,phase3_single_lowo_retune,0.09351678420709397,0.1019191267094446,-0.008402342502350627
4550,best_performer,R2,maximize,phase2_best_single_lowo,0.09351678420709397,0.09677729800783264,-0.0032605138007386625
4550,best_performer,RMSLE,minimize,phase3_single_lowo_retune,0.6591450228822602,0.6551634050967275,0.003981617785532632
4550,best_performer,RMSLE,minimize,phase2_best_single_lowo,0.6591450228822602,0.672212068919294,-0.013067046037033792
4550,best_performer,RMSE_log,minimize,phase3_single_lowo_retune,0.6591450228822602,0.6551634050967275,0.003981617785532632
4550,best_performer,RMSE_log,minimize,phase2_best_single_lowo,0.6591450228822602,0.672212068919294,-0.013067046037033792
4550,best_performer,MAE_log,minimize,phase3_single_lowo_retune,0.5319683816854799,0.529632996597707,0.0023353850877728677
4550,best_performer,MAE_log,minimize,phase2_best_single_lowo,0.5319683816854799,0.5426782464872844,-0.01070986480180447
4550,best_performer,R2_log,maximize,phase3_single_lowo_retune,0.683058073183185,0.6873228039158956,-0.004264730732710609
4550,best_performer,R2_log,maximize,phase2_best_single_lowo,0.683058073183185,0.67031161894682,0.012746454236365001
4096,cpor_sm_only_baseline,RMSE,minimize,phase3_single_lowo_retune,194.2938432096083,193.85446414247932,0.4393790671289821
4096,cpor_sm_only_baseline,RMSE,minimize,phase2_best_single_lowo,194.2938432096083,190.5452468812287,3.748596328379591
4096,cpor_sm_only_baseline,MAE,minimize,phase3_single_lowo_retune,64.93373736959717,64.78605263064745,0.1476847389497209
4096,cpor_sm_only_baseline,MAE,minimize,phase2_best_single_lowo,64.93373736959717,62.92778996417222,2.0059474054249478
4096,cpor_sm_only_baseline,MedAE,minimize,phase3_single_lowo_retune,4.84581865134687,4.925221069996502,-0.07940241864963227
4096,cpor_sm_only_baseline,MedAE,minimize,phase2_best_single_lowo,4.84581865134687,5.485785250957281,-0.6399665996104105
4096,cpor_sm_only_baseline,R2,maximize,phase3_single_lowo_retune,0.078671240581329,0.081260152111204,-0.0025889115298750043
4096,cpor_sm_only_baseline,R2,maximize,phase2_best_single_lowo,0.078671240581329,0.09677729800783264,-0.018106057426503633
4096,cpor_sm_only_baseline,RMSLE,minimize,phase3_single_lowo_retune,0.7204759391100511,0.7203505161858483,0.00012542292420281154
4096,cpor_sm_only_baseline,RMSLE,minimize,phase2_best_single_lowo,0.7204759391100511,0.672212068919294,0.048263870190757174
4096,cpor_sm_only_baseline,RMSE_log,minimize,phase3_single_lowo_retune,0.7204759391100511,0.7203505161858483,0.00012542292420281154
4096,cpor_sm_only_baseline,RMSE_log,minimize,phase2_best_single_lowo,0.7204759391100511,0.672212068919294,0.048263870190757174
4096,cpor_sm_only_baseline,MAE_log,minimize,phase3_single_lowo_retune,0.5785039828856952,0.5786048738186137,-0.00010089093291854034
4096,cpor_sm_only_baseline,MAE_log,minimize,phase2_best_single_lowo,0.5785039828856952,0.5426782464872844,0.0358257363984108
4096,cpor_sm_only_baseline,R2_log,maximize,phase3_single_lowo_retune,0.6169907138132433,0.6178492764255835,-0.0008585626123401857
4096,cpor_sm_only_baseline,R2_log,maximize,phase2_best_single_lowo,0.6169907138132433,0.67031161894682,-0.05332090513357668
640,budget_wireline_only,RMSE,minimize,phase3_single_lowo_retune,198.05511770230075,197.93765027807936,0.11746742422138823
640,budget_wireline_only,RMSE,minimize,phase2_best_single_lowo,198.05511770230075,190.5452468812287,7.509870821072042
640,budget_wireline_only,MAE,minimize,phase3_single_lowo_retune,67.31714178299659,66.96466969343628,0.3524720895603082
640,budget_wireline_only,MAE,minimize,phase2_best_single_lowo,67.31714178299659,62.92778996417222,4.389351818824366
640,budget_wireline_only,MedAE,minimize,phase3_single_lowo_retune,7.542233828087104,7.253103042449953,0.289130785637151
640,budget_wireline_only,MedAE,minimize,phase2_best_single_lowo,7.542233828087104,5.485785250957281,2.0564485771298235
640,budget_wireline_only,R2,maximize,phase3_single_lowo_retune,0.0491621459486885,0.0511992807255032,-0.002037134776814699
640,budget_wireline_only,R2,maximize,phase2_best_single_lowo,0.0491621459486885,0.09677729800783264,-0.047615152059144135
640,budget_wireline_only,RMSLE,minimize,phase3_single_lowo_retune,0.8160010550873246,0.8064872388767983,0.009513816210526271
640,budget_wireline_only,RMSLE,minimize,phase2_best_single_lowo,0.8160010550873246,0.672212068919294,0.1437889861680306
640,budget_wireline_only,RMSE_log,minimize,phase3_single_lowo_retune,0.8160010550873246,0.8064872388767983,0.009513816210526271
640,budget_wireline_only,RMSE_log,minimize,phase2_best_single_lowo,0.8160010550873246,0.672212068919294,0.1437889861680306
640,budget_wireline_only,MAE_log,minimize,phase3_single_lowo_retune,0.6613767503896438,0.6533257325185904,0.008051017871053445
640,budget_wireline_only,MAE_log,minimize,phase2_best_single_lowo,0.6613767503896438,0.5426782464872844,0.11869850390235948
640,budget_wireline_only,R2_log,maximize,phase3_single_lowo_retune,0.5053403719372349,0.5162120844807045,-0.010871712543469636
640,budget_wireline_only,R2_log,maximize,phase2_best_single_lowo,0.5053403719372349,0.67031161894682,-0.1649712470095851
