baseline_slug,baseline_label,equation,swirr_proxy_note,subset_id,subset_label,metric,direction,nested_mean,baseline_mean,delta_nested_minus_baseline
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4096,cpor_sm_only_baseline,R2,maximize,0.07768944105678646,0.022096627450797,0.05559281360598946
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4096,cpor_sm_only_baseline,RMSLE,minimize,0.7230293607206365,0.7917942178281319,-0.06876485710749536
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4096,cpor_sm_only_baseline,RMSE_log,minimize,0.7230293607206365,0.7917942178281319,-0.06876485710749536
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4096,cpor_sm_only_baseline,MAE_log,minimize,0.5790974916735147,0.6223199483746471,-0.04322245670113245
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4096,cpor_sm_only_baseline,R2_log,maximize,0.6155088154025693,0.5368139770013299,0.07869483840123936
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4550,best_performer,RMSE,minimize,190.6072605596142,200.6328090037049,-10.025548444090703
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4550,best_performer,MAE,minimize,62.31673565345384,66.12597049579306,-3.8092348423392153
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4550,best_performer,MedAE,minimize,5.02014922298487,6.096031298994006,-1.0758820760091368
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4550,best_performer,R2,maximize,0.09339463510120054,0.022096627450797,0.07129800765040353
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4550,best_performer,RMSLE,minimize,0.6609583890390777,0.7917942178281319,-0.1308358287890542
