outer_fold,selected_subset_id,selected_subset_label,selected_features,selected_cost,selected_inner_best_score,selected_outer_RMSE_log,selected_outer_MAE_log,selected_outer_R2_log,timestamp
D,4550,best_performer,"CALI,DRHO,CT,PEF,MSFL,CPOR_SM",21,-0.6613334658593963,0.7306354964601318,0.597186139922819,0.6909851867446191,2026-06-04T15:35:44.530902
A,4550,best_performer,"CALI,DRHO,CT,PEF,MSFL,CPOR_SM",21,-0.6738449264333174,0.6159481930609396,0.5124218152481664,0.7543463692071688,2026-06-04T15:41:48.527690
G,4550,best_performer,"CALI,DRHO,CT,PEF,MSFL,CPOR_SM",21,-0.6418699150887057,0.7551969090272099,0.5839451870213683,0.5716814333518553,2026-06-04T15:42:25.824375
C,4550,best_performer,"CALI,DRHO,CT,PEF,MSFL,CPOR_SM",21,-0.6727320109921154,0.5982392888055892,0.46054807355173794,0.7457275846443667,2026-06-04T15:50:30.163519
B,4550,best_performer,"CALI,DRHO,CT,PEF,MSFL,CPOR_SM",21,-0.6695032809817886,0.6391877057430537,0.5192078188496629,0.7496699572366395,2026-06-04T15:50:54.745139
E,4550,best_performer,"CALI,DRHO,CT,PEF,MSFL,CPOR_SM",21,-0.6575711671079209,0.6702408571270634,0.565905699707307,0.5346719452940574,2026-06-04T15:54:00.936629
F,4550,best_performer,"CALI,DRHO,CT,PEF,MSFL,CPOR_SM",21,-0.6735152436941503,0.6172602730495561,0.49088344224762626,0.7211190852850284,2026-06-04T16:01:16.487517
