subset_id,features,n_features,cost,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MedAE_mean,MedAE_std,R2_mean,R2_std,RMSLE_mean,RMSLE_std,RMSE_log_mean,RMSE_log_std,MAE_log_mean,MAE_log_std,R2_log_mean,R2_log_std,RMSE_log_ci,MAE_log_ci,R2_log_ci,RMSE_ci,MAE_ci,R2_ci,selector,selector_param
4096,CPOR_SM,1,10,193.41098018180944,93.4261809116315,64.70736271630135,43.17457696084153,4.910105197247695,6.213311138225115,0.08503024829463388,0.16797658018625247,0.7170528636301076,0.040342116146054076,0.7170528636301076,0.040342116146054076,0.5745768647513053,0.04571666095405227,0.6214850380203444,0.11988055609793904,0.7543630982259384,0.6168577242619581,0.5106140154071627,279.8157863795243,104.63718665396584,-0.07032217770762678,shap_topk,k=1
4608,"PHIT,CPOR_SM",2,14,193.78068835316228,93.70550833904876,64.53412080241395,42.942625364633884,5.697113364202844,7.806249141211291,0.09245413274805679,0.1295518315825506,0.7197443284621852,0.05452969004789155,0.7197443284621852,0.05452969004789155,0.5759594380797682,0.05617588332175579,0.6149678127655089,0.14132618745824432,0.7701758804600785,0.6279134649279047,0.4842628891687527,280.4438293345126,104.24942529251021,-0.02736132787788048,shap_topk,k=2
4616,"RHOB,PHIT,CPOR_SM",3,16,192.4571862636811,92.13149780623114,64.5181067657279,41.95899095772024,5.587908344347942,7.6041549306963825,0.09838278616292176,0.14233434652250154,0.7099766349505205,0.04961742998565919,0.7099766349505205,0.04961742998565919,0.5687849031886285,0.04917705464890211,0.6276394381777806,0.12317706725461172,0.7558651041152257,0.6142660930954698,0.5137196512370671,277.6646102959472,103.32370115669073,-0.03325452905804102,shap_topk,k=3
7704,"RHOB,NPHI,PHIT,DT,SWT,CPOR_SM",6,27,185.99532924338135,83.68199108451061,62.61855881988178,38.35072477811826,5.687679683547925,7.474952588973725,0.1451722164937752,0.12965102715495405,0.696821318230085,0.039649761893806444,0.696821318230085,0.039649761893806444,0.5591103940512417,0.04229975229090402,0.6467120617248856,0.08841549553671345,0.7334912319393947,0.5982311401123908,0.5649413665923231,263.3882629086795,98.08706357583992,0.02526501526444863,shap_topk,k=6
8090,"CALI,RHOB,NPHI,PEF,MSFL,PHIT,DT,SWT,CPOR_SM",9,32,192.07871051934237,84.08900040589405,63.89230222030131,39.52749588708699,5.7947139613928424,7.409817788226183,0.08969801967454218,0.058553047676256735,0.6790426768483548,0.051049023518957244,0.6790426768483548,0.051049023518957244,0.5488928870334882,0.04991792584429554,0.6620998036019502,0.10061846748858351,0.7262551492056503,0.5950592685154403,0.5690432417428564,269.8480650250478,100.44913873313271,0.03554548248009238,shap_topk,k=9
8187,"GR,CALI,RHOB,NPHI,RT,CT,PEF,MSFL,PHIT,DT,SWT,CPOR_SM",12,31,191.24620173620812,82.51765102144967,63.250728925931405,38.86735449456785,5.626048397732944,7.4060999919752,0.09381866438631015,0.06397836426073605,0.6779960211576145,0.05304962699991044,0.6779960211576145,0.05304962699991044,0.5481658892813821,0.0533492483811958,0.6629184446603117,0.101237956349105,0.7270587431383397,0.5975057148226943,0.5692889511624342,267.562300444588,99.19703647860271,0.034648546215425284,shap_topk,k=12
