fold,RMSE,MAE,MedAE,R2,RMSLE,RMSE_log,MAE_log,R2_log
A,154.764899107596,50.78689310738159,3.3889443976224003,0.10127159832149779,0.6754713275849903,0.6754713275849903,0.5626755637353031,0.7045740409714322
B,109.84450957726041,34.59645326128545,2.026359834116393,0.10011131356450742,0.6149547861477914,0.6149547861477914,0.48708858722380943,0.7682912046838524
C,234.83589391982568,64.52681471365933,6.06775511065463,-0.006699445648779445,0.6461321145556395,0.6461321145556395,0.5017354747150468,0.7033857307349158
D,163.12724733715208,40.28165974923392,2.0531907380926393,0.1939172214687277,0.7378667058221294,0.7378667058221294,0.601542563390888,0.684838185499373
E,331.8057353537408,140.3388041458831,22.45870754218808,0.15218323558421665,0.7031905566202985,0.7031905566202985,0.5896515796421021,0.4877953700706298
F,230.05694776633788,77.28312156884458,2.3520566827434797,0.12214535512680735,0.6331011622034965,0.6331011622034965,0.502049962274252,0.7066214467862382
G,108.92573651846851,32.56743202308928,1.2891606122678987,0.003996282918029115,0.7288587084187513,0.7288587084187513,0.5797718156969676,0.6010364797631106
