well,feature,mean_abs_shap
A,DEPTH,0.010176173474204766
A,CPOR_SM,0.5505274125568753
A,CALI,0.014370296429251327
A,CT,0.008118830888527686
A,DRHO,0.012029624517844397
A,GR,0.007116074155935511
A,MSFL,0.009330295522329623
A,NPHI,0.05003521204339422
A,PHIT,0.1053574408562303
A,RHOB,0.09010809539816596
A,RT,0.011712576363894065
A,SWT,0.06720584802614443
A,DT,0.041233234827738316
A,PEF,0.03235040631414106
A,Source,0.014326847728817704
A,Zone,0.09109134551830095
A,CT_missing,0.0007389064194868815
A,RT_missing,0.000651040253085195
A,SWT_missing,0.0009504972902424484
A,MSFL_missing_source,0.000971905883543256
A,DT_missing_source,0.0
A,PEF_missing_source,0.07045496019259198
B,DEPTH,0.007831044357659788
B,CPOR_SM,0.6068826484806196
B,CALI,0.014934664786376419
B,CT,0.016617218290762948
B,DRHO,0.010208951738178953
B,GR,0.01622656587416587
B,MSFL,0.025760185664762517
B,NPHI,0.058853132873796205
B,PHIT,0.1044322849038381
B,RHOB,0.05512636924647673
B,RT,0.015107880359978234
B,SWT,0.05396184955043292
B,DT,0.025574792194723358
B,PEF,0.021603741795063008
B,Source,0.010339009987928914
B,Zone,0.11141525938958051
B,CT_missing,0.0015422759542293152
B,RT_missing,0.0012107869096788194
B,SWT_missing,0.0012595392313652658
B,MSFL_missing_source,7.967422557123435e-05
B,DT_missing_source,0.01218314785571662
B,PEF_missing_source,0.05333933558061954
C,DEPTH,0.013481717427716373
C,CPOR_SM,0.583349503961818
C,CALI,0.01184820086129276
C,CT,0.013626410671562186
C,DRHO,0.013163366220033241
C,GR,0.009267547039122413
C,MSFL,0.011262734173682452
C,NPHI,0.07726366376988264
C,PHIT,0.14474622288710143
C,RHOB,0.09977728520726727
C,RT,0.010266648668219358
C,SWT,0.038785152592060015
C,DT,0.04250115833797899
C,PEF,0.03157945551859538
C,Source,0.017746139076270557
C,Zone,0.13012615919474804
C,CT_missing,0.0023017238009299815
C,RT_missing,0.001974068920982157
C,SWT_missing,0.0020474239295200226
C,MSFL_missing_source,0.0007058000115551533
C,DT_missing_source,0.004638078090643505
C,PEF_missing_source,0.044116395882694066
D,DEPTH,0.006244920432265862
D,CPOR_SM,0.6008520204170001
D,CALI,0.022080335575862035
D,CT,0.013286353185160018
D,DRHO,0.004141702308624605
D,GR,0.013139685059588499
D,MSFL,0.019720068085908742
D,NPHI,0.06125877532007995
D,PHIT,0.13313041799553674
D,RHOB,0.08463052554537465
D,RT,0.008565176633378883
D,SWT,0.06641917744044018
D,DT,0.021669262997053677
D,PEF,0.02166550588751476
D,Source,0.009052599032040273
D,Zone,0.09287307386884565
D,CT_missing,0.0022612048657033625
D,RT_missing,0.0021846581378898314
D,SWT_missing,0.002312949848396038
D,MSFL_missing_source,0.0009268910418830447
D,DT_missing_source,0.011343460074991953
D,PEF_missing_source,0.09844044535884669
E,DEPTH,0.010012473292172109
E,CPOR_SM,0.6298476159261875
E,CALI,0.0038848525438549392
E,CT,0.025808937200219373
E,DRHO,0.01261858033922455
E,GR,0.010509177058343701
E,MSFL,0.020805060944104784
E,NPHI,0.09450359727412891
E,PHIT,0.18487321563093032
E,RHOB,0.12306567123545495
E,RT,0.0185989642468032
E,SWT,0.04672459889211707
E,DT,0.04974078003374493
E,PEF,0.04302542136677385
E,Source,0.013504693306553205
E,Zone,0.13104128406808668
E,CT_missing,0.0004083267253940231
E,RT_missing,0.000294473856104497
E,SWT_missing,0.0003532922595570177
E,MSFL_missing_source,0.0005314729152533361
E,DT_missing_source,0.006934658926057107
E,PEF_missing_source,0.027637562371538055
F,DEPTH,0.01582396056390208
F,CPOR_SM,0.5428132931385444
F,CALI,0.020214447124004286
F,CT,0.01525310406668192
F,DRHO,0.007736606280128182
F,GR,0.01899183549960101
F,MSFL,0.02078766474290563
F,NPHI,0.04714271360843469
F,PHIT,0.09565639858683955
F,RHOB,0.05989690759550683
F,RT,0.010533737969316765
F,SWT,0.03744015245424286
F,DT,0.04824447841194374
F,PEF,0.01961783961612074
F,Source,0.012415789808230318
F,Zone,0.10483224066092063
F,CT_missing,0.002247927859056562
F,RT_missing,0.0019622554438684407
F,SWT_missing,0.0021382258226574557
F,MSFL_missing_source,8.870394056275086e-05
F,DT_missing_source,0.01234690700131608
F,PEF_missing_source,0.06769891224843996
G,DEPTH,0.012322531510909788
G,CPOR_SM,0.5660931566522496
G,CALI,0.006675168465613829
G,CT,0.01944607252648195
G,DRHO,0.005429562012357262
G,GR,0.00980932838026997
G,MSFL,0.017514242617118297
G,NPHI,0.0780869038925071
G,PHIT,0.13900772096099445
G,RHOB,0.08434889359481088
G,RT,0.009435357150609992
G,SWT,0.0427321698045736
G,DT,0.032788839248164364
G,PEF,0.04871407995361967
G,Source,0.005783851065344089
G,Zone,0.0764538208547573
G,CT_missing,0.0015688634741188705
G,RT_missing,0.0014912970389634806
G,SWT_missing,0.001420175807616701
G,MSFL_missing_source,0.0
G,DT_missing_source,0.005740385036830805
G,PEF_missing_source,0.05404373512723658
