parameter_set,scenario,draw,frontier_size,jaccard_vs_baseline,split_holds,boundary_cost,wireline_max_cost,cpor_entry_cost,on_frontier_640,cost_640,on_frontier_4096,cost_4096,on_frontier_4550,cost_4550
secondary,rank_preserving,0,26,0.5769230769230769,True,9.721678182805968,8.419343258549194,9.721678182805968,True,6.768065589984161,True,9.721678182805968,True,20.403008456748765
secondary,rank_preserving,1,22,0.6086956521739131,True,9.61275828563102,9.505148559584738,9.61275828563102,True,8.480720720254928,True,9.61275828563102,True,23.001006359351877
secondary,rank_preserving,2,23,0.5833333333333334,True,6.452152368154397,6.393142115945229,6.452152368154397,True,6.393142115945229,True,6.452152368154397,True,16.12473886096914
secondary,rank_preserving,3,28,0.5357142857142857,True,11.494244061252212,10.668216931866347,11.494244061252212,True,6.624773328431864,True,11.494244061252212,True,20.733714336485917
secondary,rank_preserving,4,23,0.5833333333333334,True,9.40851299048279,8.278698621313259,9.40851299048279,True,8.278698621313259,True,9.40851299048279,True,22.511538424250567
secondary,rank_preserving,5,26,0.5769230769230769,True,11.407925357599119,10.315739475544273,11.407925357599119,True,8.44014212581308,True,11.407925357599119,True,23.136066899665057
secondary,rank_preserving,6,28,0.5357142857142857,True,11.19381444530406,10.810781631894994,11.19381444530406,True,8.797907839752746,True,11.19381444530406,True,22.50024030594255
secondary,rank_preserving,7,29,0.4666666666666667,True,11.520318691163581,10.872262331492461,11.520318691163581,True,5.718370914908071,True,11.520318691163581,True,22.188229167209695
secondary,rank_preserving,8,24,0.5,True,8.645755012630156,7.868448014737604,8.645755012630156,True,7.868448014737604,True,8.645755012630156,True,19.486078635223766
secondary,rank_preserving,9,26,0.5185185185185185,True,13.992112367553737,12.150940318723919,13.992112367553737,True,9.412550217228514,True,13.992112367553737,True,27.036886009175152
secondary,rank_preserving,10,26,0.5769230769230769,True,12.585065266159026,10.55781115597847,12.585065266159026,True,7.777930903172493,True,12.585065266159026,True,25.18377407059532
secondary,rank_preserving,11,24,0.56,True,10.308580257954365,9.746912631628039,10.308580257954365,True,9.746912631628039,True,10.308580257954365,True,22.74563954004715
secondary,rank_preserving,12,27,0.5555555555555556,True,10.529540130572368,9.467976698639834,10.529540130572368,True,8.123688388408272,True,10.529540130572368,True,21.304127083140944
secondary,rank_preserving,13,25,0.48148148148148145,True,8.267074277108382,7.884551208739364,8.267074277108382,False,8.571944972778676,True,8.267074277108382,True,20.02179140653165
secondary,rank_preserving,14,25,0.6,True,13.802382555654747,13.622771650732204,13.802382555654747,True,7.066150441112352,True,13.802382555654747,True,25.45308223256766
secondary,rank_preserving,15,30,0.45161290322580644,True,11.283597501824183,10.141791525035146,11.283597501824183,True,7.6016251044422525,True,11.283597501824183,True,24.40129525127
secondary,rank_preserving,16,24,0.625,True,11.656274339058559,8.318711771089161,11.656274339058559,True,6.327194516822693,True,11.656274339058559,True,23.69124486190759
secondary,rank_preserving,17,25,0.6,True,12.072462966422446,11.335243096111764,12.072462966422446,True,6.054987186931634,True,12.072462966422446,True,22.522572177763745
secondary,rank_preserving,18,20,0.5909090909090909,True,7.583977201505777,7.581604372194962,7.583977201505777,False,8.002143573752464,True,7.583977201505777,True,21.057942217983452
secondary,rank_preserving,19,27,0.5,True,8.195555025625044,8.189639752818982,8.195555025625044,True,6.8223469768321126,True,8.195555025625044,True,20.020538210192015
secondary,rank_preserving,20,26,0.3225806451612903,True,7.1468910432837065,7.051262632791381,7.1468910432837065,False,7.428736589065403,True,7.1468910432837065,True,17.916813174772482
secondary,rank_preserving,21,26,0.4642857142857143,True,8.427267607860294,8.186928128641135,8.427267607860294,False,8.434601050832693,True,8.427267607860294,True,20.291096859379408
secondary,rank_preserving,22,26,0.5185185185185185,True,13.72718624045633,12.82699599569957,13.72718624045633,True,6.875536886936212,True,13.72718624045633,True,23.23551527021803
secondary,rank_preserving,23,27,0.5555555555555556,True,13.639731069787569,12.851513235004736,13.639731069787569,True,7.586278514219028,True,13.639731069787569,True,24.527194777541197
