parameter_set,scenario,draw,frontier_size,jaccard_vs_baseline,split_holds,boundary_cost,wireline_max_cost,cpor_entry_cost,on_frontier_640,cost_640,on_frontier_4096,cost_4096,on_frontier_4550,cost_4550
primary,unconstrained,11142,20,0.75,True,12.823321969351698,10.073373189015392,12.823321969351698,True,8.07337318901539,True,12.823321969351698,True,24.221940874352256
primary,unconstrained,11143,18,0.7368421052631579,True,7.630253618470091,6.742717137984817,7.630253618470091,True,6.742717137984817,True,7.630253618470091,True,18.592511927159524
primary,unconstrained,11144,20,0.75,True,10.680971275412576,10.323021926710897,10.680971275412576,True,5.323021926710897,True,10.680971275412576,True,21.42902582979075
primary,unconstrained,11145,20,0.75,True,11.511995758057964,9.870383225903277,11.511995758057964,True,7.870383225903277,True,11.511995758057964,True,21.811393705336037
primary,unconstrained,11146,16,0.7222222222222222,True,7.567400780378803,6.885236967590986,7.567400780378803,False,7.586811506790446,True,7.567400780378803,True,19.111625474081954
primary,unconstrained,11147,18,0.8333333333333334,True,10.5689160813591,8.21651618837097,10.5689160813591,True,6.216516188370971,True,10.5689160813591,True,20.524473299267548
primary,unconstrained,11148,22,0.6818181818181818,True,11.660680927668935,10.279349849890625,11.660680927668935,True,8.279349849890625,True,11.660680927668935,True,23.581169245653143
primary,unconstrained,11149,19,0.7894736842105263,True,10.570728804748056,9.228891976270706,10.570728804748056,True,7.228891976270707,True,10.570728804748056,True,21.686710981882506
primary,unconstrained,11150,22,0.6818181818181818,True,13.145798789988559,11.435540752423051,13.145798789988559,True,9.435540752423051,True,13.145798789988559,True,25.30401513747318
primary,unconstrained,11151,21,0.7142857142857143,True,12.61611418697476,12.370973734451935,12.61611418697476,True,7.370973734451935,True,12.61611418697476,True,24.51146326606837
primary,unconstrained,11152,20,0.75,True,12.20009509844797,11.309068952835482,12.20009509844797,True,6.309068952835483,True,12.20009509844797,True,22.40938726702168
primary,unconstrained,11153,17,0.6842105263157895,True,6.704104067169534,4.9876872579232,6.704104067169534,True,4.9876872579232,True,6.704104067169534,True,17.074847887637297
primary,unconstrained,11154,19,0.7,True,9.08824519704467,8.048015921803913,9.08824519704467,True,8.048015921803913,True,9.08824519704467,True,20.959600123379843
primary,unconstrained,11155,19,0.7894736842105263,True,10.38954267934233,7.892552697660613,10.38954267934233,True,5.892552697660613,True,10.38954267934233,True,20.906168854726346
primary,unconstrained,11156,21,0.7142857142857143,True,11.805413951369463,10.919002985324214,11.805413951369463,True,4.919002985324213,True,11.805413951369463,True,21.905456552637958
primary,unconstrained,11157,16,0.631578947368421,True,9.812579340043026,8.739835674399954,9.812579340043026,True,6.739835674399954,True,9.812579340043026,True,19.934759003116973
primary,unconstrained,11158,22,0.6818181818181818,True,12.855025385890213,10.80660271665413,12.855025385890213,True,8.80660271665413,True,12.855025385890213,True,24.246402605731184
primary,unconstrained,11159,17,0.6842105263157895,True,6.1977581398957895,5.173168642274604,6.1977581398957895,False,6.52314667269653,True,6.1977581398957895,True,16.988771214744908
primary,unconstrained,11160,20,0.75,True,13.540091360434348,13.226460781248809,13.540091360434348,True,8.226460781248809,True,13.540091360434348,True,24.637333204639564
primary,unconstrained,11161,17,0.5238095238095238,True,10.798684529053286,9.818521624515594,10.798684529053286,True,4.818521624515592,True,10.798684529053286,True,20.614727609078457
primary,unconstrained,11162,20,0.75,True,12.200936671941736,10.786122592886272,12.200936671941736,True,8.786122592886272,True,12.200936671941736,True,23.74224841308
primary,unconstrained,11163,22,0.6818181818181818,True,11.647237609210869,10.42756992705556,11.647237609210869,True,8.42756992705556,True,11.647237609210869,True,23.307749746595796
primary,unconstrained,11164,23,0.6521739130434783,True,13.393174939335097,13.349543704931563,13.393174939335097,True,8.349543704931563,True,13.393174939335097,True,24.524066459596305
primary,unconstrained,11165,20,0.75,True,12.605486749661583,9.611859335557313,12.605486749661583,True,7.611859335557312,True,12.605486749661583,True,22.87094089948075
primary,unconstrained,11166,19,0.7,True,9.168769030910829,8.447029574202496,9.168769030910829,True,8.447029574202496,True,9.168769030910829,True,20.491880667054474
primary,unconstrained,11167,17,0.6842105263157895,True,6.002295758847504,5.087477637596236,6.002295758847504,False,7.731290549464207,True,6.002295758847504,True,16.166147505947805
primary,unconstrained,11168,18,0.8333333333333334,True,10.388434276930909,7.9791920762687205,10.388434276930909,True,5.9791920762687205,True,10.388434276930909,True,21.38300202992818
primary,unconstrained,11169,19,0.7894736842105263,True,11.177246668876426,9.624266930134485,11.177246668876426,True,7.624266930134486,True,11.177246668876426,True,22.742855107604353
primary,unconstrained,11170,16,0.631578947368421,True,10.99860742330371,8.522294231414179,10.99860742330371,True,6.522294231414179,True,10.99860742330371,True,21.207641220632592
primary,unconstrained,11171,20,0.75,True,10.886527083473442,9.804710767967004,10.886527083473442,True,7.804710767967004,True,10.886527083473442,True,22.823640134024043
primary,unconstrained,11172,19,0.7894736842105263,True,11.245162550389963,8.31620317007334,11.245162550389963,True,6.316203170073342,True,11.245162550389963,True,21.6818187006308
primary,unconstrained,11173,18,0.8333333333333334,True,9.445385360042202,7.295306996651185,9.445385360042202,True,5.295306996651185,True,9.445385360042202,True,19.788489987470378
primary,unconstrained,11174,21,0.7142857142857143,True,11.788149661036051,11.258688971306913,11.788149661036051,True,5.258688971306914,True,11.788149661036051,True,22.2649368807835
primary,unconstrained,11175,16,0.8235294117647058,True,8.005113842201522,7.481100863742574,8.005113842201522,True,7.481100863742574,True,8.005113842201522,True,20.040956980619853
primary,unconstrained,11176,18,0.8333333333333334,True,8.587832257714076,6.896520107415048,8.587832257714076,True,4.896520107415048,True,8.587832257714076,True,18.523041932609985
primary,unconstrained,11177,20,0.75,True,10.793472221365644,9.96564934810792,10.793472221365644,True,4.96564934810792,True,10.793472221365644,True,21.258864131317402
primary,unconstrained,11178,20,0.75,True,11.1147603451212,10.270994503496535,11.1147603451212,True,5.270994503496535,True,11.1147603451212,True,21.942557989077848
primary,unconstrained,11179,19,0.7,True,8.33021134918489,7.76741395860381,8.33021134918489,True,7.76741395860381,True,8.33021134918489,True,19.10107964242152
