parameter_set,scenario,draw,frontier_size,jaccard_vs_baseline,split_holds,boundary_cost,wireline_max_cost,cpor_entry_cost,on_frontier_640,cost_640,on_frontier_4096,cost_4096,on_frontier_4550,cost_4550
secondary,unconstrained,0,31,0.4838709677419355,True,11.995726432853841,11.8583922629945,11.995726432853841,True,6.653696497837894,True,11.995726432853841,True,25.203678112634336
secondary,unconstrained,1,23,0.5833333333333334,True,11.756480309096013,10.554715946937081,11.756480309096013,True,7.264656256200993,True,11.756480309096013,True,20.083064213102812
secondary,unconstrained,2,28,0.5357142857142857,True,13.648054723447732,13.363896187747764,13.648054723447732,True,7.621477308972596,True,13.648054723447732,True,26.1015183171504
secondary,unconstrained,3,29,0.4666666666666667,True,11.174345609532718,9.28436669512822,11.174345609532718,True,6.54183822333038,True,11.174345609532718,True,24.03003592897166
secondary,unconstrained,4,32,0.42424242424242425,True,10.372878880431442,8.971943761491055,10.372878880431442,True,8.971943761491055,True,10.372878880431442,True,21.186082706119443
secondary,unconstrained,5,25,0.6,True,13.794274015760235,13.267935761764038,13.794274015760235,True,7.950655951294856,True,13.794274015760235,True,25.00067482501695
secondary,unconstrained,6,29,0.4666666666666667,True,10.024357612424168,8.544458297360046,10.024357612424168,True,8.544458297360046,True,10.024357612424168,True,20.737194479101426
secondary,unconstrained,7,27,0.5555555555555556,True,10.992993161014638,8.159455815511606,10.992993161014638,True,5.746508299113801,True,10.992993161014638,True,22.11081389594022
secondary,unconstrained,8,22,0.5416666666666666,True,6.799852189766361,6.393335617010418,6.799852189766361,False,7.594599628925344,True,6.799852189766361,True,16.72724086727007
secondary,unconstrained,9,25,0.6,True,10.326340270487117,8.810810384867073,10.326340270487117,True,6.265467752111682,True,10.326340270487117,True,22.02627669494275
secondary,unconstrained,10,30,0.36363636363636365,True,13.402725935443854,12.047159112181728,13.402725935443854,True,6.07127438990954,True,13.402725935443854,True,22.79999020749264
secondary,unconstrained,11,28,0.3870967741935484,True,10.731180401009905,10.092944033531806,10.731180401009905,True,5.079164343214325,True,10.731180401009905,True,19.73221914915495
secondary,unconstrained,12,29,0.375,True,11.895737691077972,8.240653918497891,11.895737691077972,True,6.657082322226591,True,11.895737691077972,True,23.15931145521447
secondary,unconstrained,13,28,0.43333333333333335,True,9.242582643921057,9.110348600894444,9.242582643921057,True,7.753001505028769,True,9.242582643921057,True,21.702645276051264
secondary,unconstrained,14,23,0.5833333333333334,True,12.45703618545762,11.406901793396045,12.45703618545762,True,6.569024500889743,True,12.45703618545762,True,22.51412792276016
secondary,unconstrained,15,24,0.625,True,10.359767235534063,8.875150265122482,10.359767235534063,True,7.636940266510202,True,10.359767235534063,True,20.657307470225867
secondary,unconstrained,16,28,0.5357142857142857,True,10.932391024911395,10.899815631583195,10.932391024911395,True,5.715687901986595,True,10.932391024911395,True,22.05997303846403
secondary,unconstrained,17,26,0.5185185185185185,True,7.148105248405361,6.530228880886513,7.148105248405361,True,6.530228880886513,True,7.148105248405361,True,17.417622314043264
secondary,unconstrained,18,24,0.625,True,11.677680605180981,9.714265833547241,11.677680605180981,True,7.00088151729691,True,11.677680605180981,True,22.878222576187376
secondary,unconstrained,19,20,0.5909090909090909,True,7.106126170196063,6.23118115112888,7.106126170196063,False,7.227395734424341,True,7.106126170196063,True,19.157401763531748
secondary,unconstrained,20,31,0.4375,True,12.985454822787286,11.909625544211144,12.985454822787286,True,5.70342804582492,True,12.985454822787286,True,23.940075764922874
secondary,unconstrained,21,26,0.4642857142857143,True,8.310769870109795,7.895202982637653,8.310769870109795,False,9.185179568324134,True,8.310769870109795,True,19.949366750380847
secondary,unconstrained,22,19,0.6190476190476191,True,6.577461552530426,5.4777850542843325,6.577461552530426,False,7.152799246906045,True,6.577461552530426,True,19.083901526346786
secondary,unconstrained,23,26,0.5769230769230769,True,13.82324736777429,10.86869616168125,13.82324736777429,True,8.314572681156257,True,13.82324736777429,True,25.77558058618133
secondary,unconstrained,24,29,0.4666666666666667,True,13.014873538503576,12.28892179359569,13.014873538503576,True,7.261972170310948,True,13.014873538503576,True,22.985345194684918
secondary,unconstrained,25,22,0.5416666666666666,True,6.95908102736468,6.8547442126831895,6.95908102736468,False,8.325595396410893,True,6.95908102736468,True,17.237861418250876
secondary,unconstrained,26,26,0.5185185185185185,True,9.110298761879822,8.146627292599028,9.110298761879822,True,8.146627292599028,True,9.110298761879822,True,20.132076356531535
secondary,unconstrained,27,21,0.7142857142857143,True,13.737800613795738,13.168015041207566,13.737800613795738,True,6.364575159734343,True,13.737800613795738,True,25.952431045953936
secondary,unconstrained,28,24,0.5,True,6.58962548608248,5.578519389563641,6.58962548608248,False,8.215671708897649,True,6.58962548608248,True,17.171901481638926
secondary,unconstrained,29,27,0.4482758620689655,True,7.5980539109061995,6.928421605601784,7.5980539109061995,False,8.491098382089955,True,7.5980539109061995,True,19.517791597282578
secondary,unconstrained,30,26,0.5769230769230769,True,8.903667577269278,7.958541756564465,8.903667577269278,True,5.5732112294472795,True,8.903667577269278,True,19.498464205624224
secondary,unconstrained,31,24,0.625,True,10.650748314458031,10.413412736811061,10.650748314458031,True,7.961434503715856,True,10.650748314458031,True,22.89380934551209
secondary,unconstrained,32,22,0.48,True,7.744377020572096,6.722639295910435,7.744377020572096,True,5.422458394652235,True,7.744377020572096,True,18.45567480337552
secondary,unconstrained,33,25,0.42857142857142855,True,9.665573986016623,7.779593768395201,9.665573986016623,True,5.779735184112484,True,9.665573986016623,True,18.420117016632396
secondary,unconstrained,34,26,0.4642857142857143,True,9.550444666790213,7.563852681084796,9.550444666790213,True,6.020169680288166,True,9.550444666790213,True,20.39384195639178
secondary,unconstrained,35,21,0.5652173913043478,True,7.903668215567098,7.66638316898312,7.903668215567098,True,7.66638316898312,True,7.903668215567098,True,20.21214345589828
secondary,unconstrained,36,25,0.6,True,13.035906470208793,12.856094026160898,13.035906470208793,True,6.831354202582855,True,13.035906470208793,True,25.12347757476218
secondary,unconstrained,37,24,0.56,True,11.307652969436756,8.736544648362635,11.307652969436756,True,7.526786150568097,True,11.307652969436756,True,22.733335570238133
secondary,unconstrained,38,24,0.56,True,9.146304814681423,8.479695823076668,9.146304814681423,True,6.887623181939578,True,9.146304814681423,True,22.808006283173754
