subset_id,subset_label,config_slug,config_label,dropped,cost,n_outer_folds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MedAE_mean,MedAE_std,R2_mean,R2_std,RMSLE_mean,RMSLE_std,RMSE_log_mean,RMSE_log_std,MAE_log_mean,MAE_log_std,R2_log_mean,R2_log_std,RMSE_ci,MAE_ci,MedAE_ci,R2_ci,RMSLE_ci,RMSE_log_ci,MAE_log_ci,R2_log_ci
640,budget_wireline_only,no_source,-Source,Source,7,7,198.79576840183927,92.66503992944652,67.38849989255668,42.82414113058903,6.468778710716863,7.612923503036191,0.0419269662646667,0.0760984480642694,0.8182547939743217,0.0864710828290221,0.8182547939743217,0.0864710828290221,0.6647588357687259,0.0722937227381294,0.5037446443319952,0.1742427679157017,284.4966365983097,106.99422474255384,13.509558644770395,-0.0284523598811743,0.8982272072812003,0.8982272072812003,0.7316193778731684,0.3425969612499906
640,budget_wireline_only,no_zone,-Zone,Zone,7,7,202.19847463324743,92.78443660280536,67.9132698346196,44.10174303873212,7.042636024850897,10.282999785291096,0.0081220302622827,0.0630035376881599,0.8052063045520258,0.0948876248567275,0.8052063045520258,0.0948876248567275,0.6544683924576233,0.0825171620018085,0.5146527638178227,0.1996937274721944,288.0097663354371,108.70057937740592,16.55282465623273,-0.0501465236976077,0.8929627209687678,0.8929627209687678,0.7307840388982673,0.3299668689993814
640,budget_wireline_only,no_depth,-DEPTH,DEPTH,7,7,197.7852536813725,90.38455211158208,67.1880931590667,43.02860267931114,7.554097634220263,11.42035142804939,0.0485894740702264,0.0649845634838412,0.8149148289811338,0.0739109023958889,0.8149148289811338,0.0739109023958889,0.6637034963831068,0.0673343019850237,0.5088015245935015,0.1692923046535173,281.3770224153999,106.98291340309402,18.11616109674965,-0.0115112231741082,0.8832710128163216,0.8832710128163216,0.7259773392899193,0.3522322564117328
640,budget_wireline_only,no_all_three,-all-three (DEPTH+Source+Zone),"DEPTH,Source,Zone",7,7,202.66493273459292,93.11207264922706,68.41047889769915,43.77320114463607,8.036698371508008,9.804916401171912,0.0018584399959117,0.0503153192573853,0.8164811734451491,0.1035004415904392,0.8164811734451491,0.1035004415904392,0.6660795926972397,0.0913292175004394,0.5017219102207848,0.1990612129042147,288.7792372413115,108.89393786658638,17.104733617745712,-0.0446754690945461,0.912203116799107,0.912203116799107,0.750545031199735,0.3176209938112888
4096,cpor_sm_only_baseline,no_source,-Source,Source,10,7,192.50741814250424,94.2340662320922,64.35025315883334,42.27020891968349,4.990496966020082,5.893546817581339,0.0999190659077778,0.1479979428136486,0.7026531936186299,0.0441948201952538,0.7026531936186299,0.0441948201952538,0.5636442570517533,0.0373404112748053,0.63977335745425,0.0960881655998229,279.6593936439757,103.44367615871808,10.441118682773524,-0.0369562022632421,0.7435265851738909,0.7435265851738909,0.5981783776597042,0.5509066260355736
4096,cpor_sm_only_baseline,no_zone,-Zone,Zone,10,7,200.26822702799376,92.65310292532632,66.61324439167933,42.1344529702809,5.440540932285159,5.56522965641394,0.0193570844159563,0.1265491479860786,0.7388394738712086,0.0449119895367753,0.7388394738712086,0.0449119895367753,0.6008541997359098,0.040707528287982,0.6026840805816681,0.09919888375687,285.958055336956,105.5811140789502,10.587519918433085,-0.0976813570522395,0.7803761364427998,0.7803761364427998,0.6385023841975865,0.510940414701231
4096,cpor_sm_only_baseline,no_depth,-DEPTH,DEPTH,10,7,195.6479102132704,93.40709320239266,65.36935166572252,43.15800585619203,5.128726051878969,6.753886116094488,0.0654183998035253,0.1539587951053142,0.7332397897823032,0.0497716242165846,0.7332397897823032,0.0497716242165846,0.5915909123901828,0.0513441532166377,0.602168962046246,0.1359626638236752,282.03506322425056,105.28384988770696,11.375028910973228,-0.0769697372657935,0.7792708648258949,0.7792708648258949,0.6390763341935805,0.4764244704789244
4096,cpor_sm_only_baseline,no_all_three,-all-three (DEPTH+Source+Zone),"DEPTH,Source,Zone",10,7,193.78568899570695,93.41963664347988,64.71957882752763,40.86765047005182,4.750978940634117,4.79250261177391,0.0861394833954644,0.1583521234214901,0.7229994135832862,0.0558988861651094,0.7229994135832862,0.0558988861651094,0.5823709730858574,0.0438378308199451,0.6160448715024576,0.1195428900476237,280.1844427548459,102.51585160850298,9.18330460493634,-0.0603118046880349,0.7746972607888021,0.7746972607888021,0.6229142045351694,0.5054861379002612
4550,best_performer,no_source,-Source,Source,21,7,190.1002253782064,79.53455872507038,62.21159485521645,37.78596180369373,5.109210380622403,5.923998783569899,0.0964360559790279,0.0686078341784791,0.6606333220172902,0.0616161549002882,0.6606333220172902,0.0616161549002882,0.5359575927310882,0.0510154967722367,0.6824254436263164,0.0857437552882235,263.6574238594395,97.15778097547062,10.587995468648293,0.0329843922377521,0.7176187609045278,0.7176187609045278,0.5831390580192244,0.60312569610318
4550,best_performer,no_zone,-Zone,Zone,21,7,196.030056350284,81.74482955077684,63.81375210007104,38.36796912511085,5.119239189247543,5.899256412239661,0.0406905826029848,0.0449799417047702,0.6872319380608065,0.0611464737184228,0.6872319380608065,0.0611464737184228,0.5629580417542677,0.0603420501301566,0.6567055648627494,0.088788341087167,271.6314144073032,99.2982052170278,10.575141400345355,-0.0009089252422654,0.7437829943039309,0.7437829943039309,0.6187651302619374,0.5745900451080707
4550,best_performer,no_depth,-DEPTH,DEPTH,21,7,191.03997234300945,82.53854298047247,62.6828598642879,39.21297159553343,4.924596706470784,6.064335677191232,0.0936380826861316,0.0775547656115764,0.6682767420580215,0.0596813592738558,0.6682767420580215,0.0596813592738558,0.540445168869395,0.0526607254363475,0.6738976398767696,0.0926753772988785,267.3753928908656,98.94880992333324,10.533171773894525,0.0219118874484626,0.7234727934362887,0.7234727934362887,0.5891482168925449,0.5881872112081312
