subset_id,subset_label,config_slug,config_label,dropped,outer_fold,outer_fold_index,cost,n_train,n_test,seed,RMSE,MAE,MedAE,R2,RMSLE,RMSE_log,MAE_log,R2_log
640,budget_wireline_only,no_source,-Source,Source,A,0,7,1928,356,20260851,146.9395698238147,51.14846290211473,2.910609266102262,0.1898581696815893,0.7033747583957035,0.7033747583957035,0.5687319410351359,0.67966206298621
640,budget_wireline_only,no_source,-Source,Source,B,1,7,1807,477,20270851,113.64583328586876,35.711736145539106,2.3015319704298536,0.0367497771706298,0.7253567530183934,0.7253567530183934,0.5985894659547247,0.6776264032732982
640,budget_wireline_only,no_source,-Source,Source,C,2,7,1895,389,20280851,235.2255371084283,67.27420154773749,7.007038692382325,-0.0100428783062553,0.8687577128308335,0.8687577128308335,0.6751743300827863,0.4637754023864296
640,budget_wireline_only,no_source,-Source,Source,D,3,7,1853,431,20290851,178.91381473032422,45.58899570868523,2.063311885646065,0.0303513916064227,0.8971770191733166,0.8971770191733166,0.7222908317723141,0.5340556554150659
640,budget_wireline_only,no_source,-Source,Source,E,4,7,2081,203,20300851,369.9887179836298,156.9654499164279,23.29426960477155,-0.0541712928747368,0.8872787991143575,0.8872787991143575,0.7205964721924807,0.1845118602156816
640,budget_wireline_only,no_source,-Source,Source,F,5,7,1896,388,20310851,241.4903125453725,80.34147041722147,3.069193529137948,0.0327219527266947,0.7541845130304202,0.7541845130304202,0.6115600484868157,0.5836703311297537
640,budget_wireline_only,no_source,-Source,Source,G,6,7,2244,40,20320851,105.36659333543643,34.68918261017086,4.635496026548035,0.0680216438483228,0.891654002257227,0.891654002257227,0.7563687608568227,0.4029107949175275
640,budget_wireline_only,no_zone,-Zone,Zone,A,0,7,1928,356,20260851,154.0233663977255,51.83959656308656,2.8668356355535263,0.1098632098029285,0.7177926602711056,0.7177926602711056,0.5922599599121919,0.6663947759755867
640,budget_wireline_only,no_zone,-Zone,Zone,B,1,7,1807,477,20270851,111.34684471034282,35.201418846219646,2.2142199260743283,0.0753275615600652,0.67518754782229,0.67518754782229,0.5384276499648671,0.7206780946980713
640,budget_wireline_only,no_zone,-Zone,Zone,C,2,7,1895,389,20280851,237.161451733461,64.83515675082144,6.658531574216243,-0.0267366704212528,0.8427350925687088,0.8427350925687088,0.6515922902637613,0.4954182447387923
640,budget_wireline_only,no_zone,-Zone,Zone,D,3,7,1853,431,20290851,183.39583272414623,47.10993073923064,1.8611452864531572,-0.0188389820302914,0.9086703428740024,0.9086703428740024,0.7282017903636638,0.5220411902975893
640,budget_wireline_only,no_zone,-Zone,Zone,E,4,7,2081,203,20300851,370.38432536443287,160.0433557451571,30.04504919817652,-0.0564268259815545,0.9311469253171788,0.9311469253171788,0.7730491523136712,0.1018810348203116
640,budget_wireline_only,no_zone,-Zone,Zone,F,5,7,1896,388,20310851,250.9162495572791,82.89751494529732,1.819156470099555,-0.0442620112382712,0.7686975524524435,0.7686975524524435,0.6044314551398324,0.5674930032391108
640,budget_wireline_only,no_zone,-Zone,Zone,G,6,7,2244,40,20320851,108.16125194534452,33.46591525252454,3.833514083382948,0.0179279301443553,0.7922140105584519,0.7922140105584519,0.6933164492453754,0.5286630029552967
