subset_id,features,n_features,cost,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MedAE_mean,MedAE_std,R2_mean,R2_std,RMSLE_mean,RMSLE_std,RMSE_log_mean,RMSE_log_std,MAE_log_mean,MAE_log_std,R2_log_mean,R2_log_std,RMSE_log_ci,MAE_log_ci,R2_log_ci,RMSE_ci,MAE_ci,R2_ci
0,(DEPTH-only),0,0,210.06133225998127,95.69813582100768,72.20469370683269,45.342807598000675,8.167250077039014,9.22093978655575,-0.07589636438333451,0.03915236871872817,1.0494408395811374,0.040782274913059156,1.0494408395811374,0.040782274913059156,0.8614010761197172,0.039358746739173264,0.20978754320185766,0.11855334227850588,1.0871581531412178,0.8978018457005683,0.10014398864668764,298.567346296003,114.13979653064672,-0.11210626612943066
1,GR,1,1,208.60013928009494,93.91699208694034,71.2977670861042,45.08422176004996,8.322144086275548,10.88789882347468,-0.06403472509108916,0.03308224743060393,1.0348550120790427,0.04784799447392848,1.0348550120790427,0.04784799447392848,0.8429918900665339,0.050618736554430145,0.23003706248274547,0.1313564515734436,1.0791070263338007,0.8898064133541298,0.10855260673090104,295.45887010652115,112.99371789711427,-0.09463070097208875
12,"DRHO,RHOB",2,2,198.34073860697669,89.7869082791987,66.58480957398632,43.22759030325419,7.018598621972787,10.541184865019211,0.03589820758925618,0.08340146619700667,0.8568878920389669,0.0664209031683677,0.8568878920389669,0.0664209031683677,0.6861913589324536,0.0546224335460259,0.4624478323464815,0.15398591857975868,0.9183169819336763,0.7367086843602806,0.32003461024714314,281.37977898361584,106.56366267598528,-0.04123528382653654
140,"DRHO,RHOB,PEF",3,3,198.53085864595832,90.52057411919242,66.79147376495752,42.841057286793436,6.511616673081507,9.543061753319652,0.035856678682977226,0.08227365528773131,0.8344839572558727,0.07091775862156566,0.8344839572558727,0.07091775862156566,0.6706074663456716,0.05462214931393072,0.4873138896398806,0.16382853129904587,0.900071944797273,0.7211245289026538,0.3357977690147683,282.24842675540185,106.4128434500982,-0.04023376160846547
152,"RHOB,NPHI,PEF",3,5,198.03194775466517,92.05146969426096,67.05267862296667,43.47695617935045,6.864134917097322,10.540273793506895,0.045594164981770144,0.09211557656793119,0.8155650643542296,0.09193545985744055,0.8155650643542296,0.09193545985744055,0.6573867854090453,0.07657755478214384,0.502750514373848,0.19680419405735608,0.9005911835230478,0.7282092113659031,0.32073699224874286,283.16535812782973,107.26215669524886,-0.039598534360946305
640,"PEF,PHIT",2,7,197.0599357376862,92.3449586432386,67.08593219625166,43.07018040535509,7.504841036939341,10.715241485997842,0.0613011061021042,0.08161553366648855,0.8042450044286841,0.08801390518364377,0.8042450044286841,0.08801390518364377,0.6486232934403687,0.07080753048122464,0.5172828404547275,0.18901207279231186,0.8856442904306445,0.7141093369548297,0.3424758285519771,282.46477811749105,106.91920542343547,-0.014180673206055948
4096,CPOR_SM,1,10,193.41098018180944,93.4261809116315,64.70736271630135,43.17457696084153,4.910105197247695,6.213311138225115,0.08503024829463388,0.16797658018625247,0.7170528636301076,0.040342116146054076,0.7170528636301076,0.040342116146054076,0.5745768647513053,0.0457166609540523,0.6214850380203444,0.11988055609793904,0.7543630982259384,0.6168577242619582,0.5106140154071627,279.8157863795243,104.63718665396584,-0.07032217770762678
4098,"CALI,CPOR_SM",2,11,193.7723778311031,90.08878284049804,63.648780670554615,41.79205904507766,4.803815309047062,5.972389803242682,0.08241541028895671,0.09871885869521561,0.6927885009171144,0.03349747134149235,0.6927885009171144,0.03349747134149235,0.5610569693891831,0.03158478696484098,0.650799879469626,0.08661492135553137,0.7237684948666991,0.5902680253251475,0.570694437713061,277.09060561228534,102.29998879185136,-0.008884306454123261
4236,"DRHO,RHOB,PEF,CPOR_SM",4,13,191.10873440897893,87.96535611113386,63.248843043905445,40.55927566407207,5.537950804530311,6.966356629277487,0.10012295635617426,0.1312453569495172,0.6766486805950341,0.04432239782737696,0.6766486805950341,0.04432239782737696,0.5435501828540085,0.03747082114657238,0.6665355070395682,0.08758372199719815,0.7176400617809446,0.5782049124774018,0.5855340741285899,272.4631200076438,100.75991669668203,-0.021258754005070823
4238,"CALI,DRHO,RHOB,PEF,CPOR_SM",5,14,188.28259398934492,83.72580564728419,62.51523477961867,39.26684138406821,5.573244063180736,6.766274305387188,0.12372058951066531,0.10597957363195538,0.6731437537632099,0.047610495320484114,0.6731437537632099,0.047610495320484114,0.5385823891351172,0.036877968232591304,0.6693351964504659,0.09029061543870007,0.7171761179356758,0.5726888212616372,0.5858303046489646,265.7160493667386,98.83100608355319,0.025705831428592243
