subset_id,features,n_features,cost,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MedAE_mean,MedAE_std,R2_mean,R2_std,RMSLE_mean,RMSLE_std,RMSE_log_mean,RMSE_log_std,MAE_log_mean,MAE_log_std,R2_log_mean,R2_log_std,RMSE_log_ci,MAE_log_ci,R2_log_ci,RMSE_ci,MAE_ci,R2_ci
0,(DEPTH-only),0,0,210.11151865220785,95.84650480582981,72.22693391520606,45.378858721659036,7.94446591432277,8.734176286443084,-0.07613277243959117,0.04032762655753962,1.049544205360101,0.04222070635304828,1.049544205360101,0.04222070635304828,0.861121948272112,0.04189621177248572,0.20967962660303757,0.11900073205410615,1.0885918461217023,0.8998694816005278,0.09962230551606267,298.75475111302455,114.19537846745763,-0.11342960640108954
1,GR,1,1,209.23150153461393,94.74094930152215,71.49800254498469,44.999614903276935,7.633759442235857,8.412883522475239,-0.06886212859010753,0.03584341995541905,1.03854474862982,0.03795483996893388,1.03854474862982,0.03795483996893388,0.8508510216189992,0.036585442403130185,0.22640131999763444,0.11290735591560742,1.0736471210031804,0.8846869124758688,0.12197943192525271,296.8522656877421,113.11570506422967,-0.10201176314105498
12,"DRHO,RHOB",2,2,198.44861389604816,90.64977805668683,66.61204909297216,43.54477483052347,6.8751187769402184,10.291239735050976,0.03633723619561957,0.08566582098861421,0.864663216380882,0.07152100693810998,0.864663216380882,0.07152100693810998,0.6922603702745563,0.06177147354215441,0.45058355039522535,0.16867976116690125,0.9308091155630183,0.7493894549473584,0.29458079045271357,282.2856757177493,106.88424895644839,-0.042890434121874974
140,"DRHO,RHOB,PEF",3,3,198.13572223513435,89.85556365661743,66.89380749330995,42.77536224776414,6.853163108967295,10.296876072032639,0.03891120060637522,0.08168184344098918,0.8404464192432871,0.07198639061498997,0.8404464192432871,0.07198639061498997,0.6760152288746104,0.055609733303567686,0.48011755974452813,0.16513310585180713,0.9070227265403226,0.7274456542855153,0.3273949088909307,281.23825824567837,106.45441940091881,-0.03663190501480376
152,"RHOB,NPHI,PEF",3,5,198.84785111675927,93.40770241928004,67.31812373554506,43.86985491701761,6.823957456758485,10.251497482966283,0.040321330046341544,0.09798575525174003,0.8203002463804939,0.09250592498789195,0.8203002463804939,0.09250592498789195,0.6606671205487453,0.07703636758387013,0.4971911328199701,0.19909922827183246,0.9058539577997737,0.7319138775745536,0.31305505805936207,285.2355675593875,107.89097253487824,-0.050300379093962705
640,"PEF,PHIT",2,7,197.93765027807936,92.33661992601338,66.96466969343628,43.347693375091815,7.253103042449953,10.634510163456309,0.05119928072550325,0.07413768386155901,0.8064872388767983,0.08380474641231118,0.8064872388767983,0.08380474641231118,0.6533257325185904,0.06924014588562512,0.5162120844807045,0.18042581836796145,0.8839937022850962,0.7173621870538319,0.3493460334762917,283.3347806307121,107.05459961078421,-0.017366640984006913
4096,CPOR_SM,1,10,193.85446414247934,93.2278294235551,64.78605263064745,42.92403341805003,4.925221069996502,6.2240341959982635,0.08126015211120408,0.16360297181046551,0.7203505161858483,0.04225121375157942,0.7203505161858483,0.04225121375157942,0.5786048738186137,0.04819642461392162,0.6178492764255835,0.12212548269395217,0.7594263715852735,0.6231791322069302,0.5049020429947929,280.0758258097742,104.48416243799267,-0.07004736077990184
4098,"CALI,CPOR_SM",2,11,192.85799082310663,90.44853688257335,63.7414505774075,41.81881269659768,5.019915988205656,6.292516328541514,0.09363537407779218,0.10980764642558834,0.6977834907602322,0.0325951183194004,0.6977834907602322,0.0325951183194004,0.565940761327849,0.03132257532432325,0.6465964761760146,0.08358657324506914,0.7279289473538533,0.5949093119429211,0.5692917892938376,276.50893560054243,102.41740169956452,-0.0079197608517243
4236,"DRHO,RHOB,PEF,CPOR_SM",4,13,190.5578687961458,86.70619383631907,63.0004534607949,39.608635571097274,5.211318309715651,6.636948979158989,0.10189204566871304,0.13459185310484162,0.6750283499346664,0.04516635850151937,0.6750283499346664,0.04516635850151937,0.5406557809512955,0.037175995184439044,0.6681572028189303,0.08683994866957287,0.7168002645618052,0.575037842037116,0.5878436455077186,270.7477235185057,99.63233166540307,-0.022584657433546526
4290,"CALI,CT,PEF,CPOR_SM",4,16,190.12140725025785,82.19244954597536,62.207593222999705,38.846974515281794,5.221622614706775,6.210628156726573,0.10236524503782897,0.07635582055232545,0.6677120122277739,0.055586040158859824,0.6677120122277739,0.055586040158859824,0.5434646352666204,0.05026666387266907,0.6771704185613628,0.07691931269106395,0.7191205251345315,0.5899535456313906,0.6060319192554862,266.13674475669853,98.1350524384775,0.031747889040675215
4326,"CALI,DRHO,RT,CT,PEF,CPOR_SM",6,18,188.23343289349933,83.06946929798247,61.904016281350714,38.96668964055432,5.048572720106937,6.13590961510654,0.12050373480076441,0.10268283558370862,0.6592044898552596,0.0592942910103356,0.6592044898552596,0.0592942910103356,0.5322321160737375,0.04987073586494855,0.6834636854069032,0.08702190478244802,0.7140425627957013,0.5783548541039274,0.6029818467583185,265.05987838877473,97.94219352144617,0.025537950885930694
4550,"CALI,DRHO,CT,PEF,MSFL,CPOR_SM",6,21,190.09408142419593,82.24604605913343,62.02698418239795,38.810150625307195,5.017188544932863,5.891986752110554,0.10191912670944463,0.08447463411644149,0.6551634050967275,0.05342021495710354,0.6551634050967275,0.05342021495710354,0.529632996597707,0.04658529504939364,0.6873228039158956,0.08397184109128955,0.7045688637740408,0.5727172086582804,0.609661803704178,266.15898743795555,97.9203869797962,0.02379312050613129
